"SANDBOX","ServerActiveSandboxSet","ServerActiveSandboxSet(SandboxName)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_serveractivesandboxset_bv5007.html#ServerActiveSandboxSet_BV5007"
"SANDBOX","SetUseActiveSandboxProperty","SetUseActiveSandboxProperty(PropertyValue)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_setuseactivesandboxproperty_nc6220.html#SetUseActiveSandboxProperty_NC6220"
"SANDBOX","ServerSandboxExists","ServerSandboxExists( sandboxname , username )","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_serversandboxexists.html"
"SANDBOX","ServerSandboxGet","ServerSandboxGet( index, username )","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_serversandboxget.html"
"SANDBOX","ServerSandboxListCountGet","ServerSandboxListCountGet(username)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_serversandboxlistcountget.html"

"SECURITY","AddClient","AddClient(ClientName);",https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_addclient.html#tm1_ref_tifun_addclient"
"SECURITY","AddGroup","AddGroup(GroupName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_addgroup.html#tm1_ref_tifun_addgroup"
"SECURITY","AssignClientToGroup","AssignClientToGroup(ClientName, GroupName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_assignclienttogroup.html#tm1_ref_tifun_assignclienttogroup"
"SECURITY","AssignClientPassword","AssignClientPassword (ClientName, Password);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_assignclientpassword.html#tm1_ref_tifun_assignclientpassword"
"SECURITY","AssociateCAMIDToGroup","AssociateCAMIDToGroup(GroupName, CAMID, CAMIDDisplayValue);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_associate_camid_to_group.html"
"SECURITY","CellSecurityCubeCreate","CellSecurityCubeCreate (CubeName, DimensionMap);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cellsecuritycubecreate.html"
"SECURITY","CellSecurityCubeDestroy","CellSecurityCubeDestroy (CubeName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_cellsecuritycubedestroy.html"
"SECURITY","DeleteClient","DeleteClient(ClientName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_deleteclient.html#tm1_ref_tifun_deleteclient"
"SECURITY","DeleteGroup","DeleteGroup(GroupName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_deletegroup.html#tm1_ref_tifun_deletegroup"
"SECURITY","ElementSecurityGet","ElementSecurityGet(DimName, ElName, Group);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_elementsecurityget.html#tm1_ref_tifun_elementsecurityget"
"SECURITY","ElementSecurityPut","ElementSecurityPut(Level, DimName, ElName, Group);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_elementsecurityput.html#tm1_ref_tifun_elementsecurityput"
"SECURITY","RemoveCAMIDAssociation","RemoveCAMIDAssociation(CAMID, RemoveCAMID);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_remove_camid_association.html"
